Back in Black               | AC/DC
Dirty Deeds Done Dirt Cheap | AC/DC
Highway to Hell             | AC/DC
You Shook Me All Night Long | AC/DC
Children of the grave       | Black Sabbath
Children of the sea         | Black Sabbath
Heaven and Hell             | Black Sabbath
Into the Void               | Black Sabbath
Iron Man                    | Black Sabbath
Paranoid                    | Black Sabbath
War Pigs                    | Black Sabbath
Sunshine of your Love       | Cream
Money For Nothing           | Dire Straits
Sultans of Swing            | Dire Straits
I Love Rock and Roll        | Joan Jett
Black Dog                   | Led Zeppelin
Kashmir                     | Led Zeppelin
No Quarter                  | Led Zeppelin
Stairway to Heaven          | Led Zeppelin
Whole Lotta Love            | Led Zeppelin
Knights of Cydonia          | Muse
Crazy Train                 | Ozzy
Another Brick in the Wall   | Pink Floyd
39                          | Queen
Bohemian Rhapsody           | Queen
Don't Stop Me Now           | Queen
Killer Queen                | Queen
Liar                        | Queen
Love of my life             | Queen
One Vision                  | Queen
Tie your Mother Down        | Queen
We are the Champions        | Queen
White Queen                 | Queen
Rock you Like a Hurricane   | Scorpions
Get Back                    | The Beatles
Let it Be                   | The Beatles
Barracuda                   | Heart
Immigrant Song              | Led Zeppelin
The Beautiful People        | Marilyn Manson
Eye of the Tiger            | Survivor
